pa,pb,a wins (11-rule),a wins (21-rule),difference
0,0,0.455446,0.554455,-0.099009
0,0.01,0,0,0
0,0.02,0,0,0
0,0.03,0.00990099,0,0.00990099
0,0.04,0,0,0
0,0.05,0,0,0
0,0.06,0,0,0
0,0.07,0.00990099,0.00990099,0
0,0.08,0,0,0
0,0.09,0,0,0
0,0.1,0,0,0
0,0.11,0,0,0
0,0.12,0,0,0
0,0.13,0,0,0
0,0.14,0,0,0
0,0.15,0,0,0
0,0.16,0,0,0
0,0.17,0,0,0
0,0.18,0,0,0
0,0.19,0,0,0
0,0.2,0,0,0
0,0.21,0,0,0
0,0.22,0,0,0
0,0.23,0,0,0
0,0.24,0,0,0
0,0.25,0,0,0
0,0.26,0,0,0
0,0.27,0,0,0
0,0.28,0,0,0
0,0.29,0,0,0
0,0.3,0,0,0
0,0.31,0,0,0
0,0.32,0,0,0
0,0.33,0,0,0
0,0.34,0,0,0
0,0.35,0,0,0
0,0.36,0,0,0
0,0.37,0,0,0
0,0.38,0,0,0
0,0.39,0,0,0
0,0.4,0,0,0
0,0.41,0,0,0
0,0.42,0,0,0
0,0.43,0,0,0
0,0.44,0,0,0
0,0.45,0,0,0
0,0.46,0,0,0
0,0.47,0,0,0
0,0.48,0,0,0
0,0.49,0,0.00990099,-0.00990099
0,0.5,0,0,0
0,0.51,0,0,0
0,0.52,0,0,0
0,0.53,0,0,0
0,0.54,0,0,0
0,0.55,0,0,0
0,0.56,0,0,0
0,0.57,0,0,0
0,0.58,0,0,0
0,0.59,0,0,0
0,0.6,0,0,0
0,0.61,0,0,0
0,0.62,0,0,0
0,0.63,0,0,0
0,0.64,0,0,0
0,0.65,0,0,0
0,0.66,0,0,0
0,0.67,0,0,0
0,0.68,0,0,0
0,0.69,0,0,0
0,0.7,0,0,0
0,0.71,0,0,0
0,0.72,0,0,0
0,0.73,0,0,0
0,0.74,0,0,0
0,0.75,0,0,0
0,0.76,0,0,0
0,0.77,0,0,0
0,0.78,0,0,0
0,0.79,0,0,0
0,0.8,0,0,0
0,0.81,0,0,0
0,0.82,0,0,0
0,0.83,0,0,0
0,0.84,0,0,0
0,0.85,0,0,0
0,0.86,0,0,0
0,0.87,0,0,0
0,0.88,0,0,0
0,0.89,0,0,0
0,0.9,0,0,0
0,0.91,0,0,0
0,0.92,0,0,0
0,0.93,0,0,0
0,0.94,0,0,0
0,0.95,0,0,0
0,0.96,0,0,0
0,0.97,0,0,0
0,0.98,0,0,0
0,0.99,0,0,0
0.01,0,1,1,0
0.01,0.01,0.455446,0.524752,-0.069306
0.01,0.02,0.366337,0.287129,0.079208
0.01,0.03,0.247525,0.227723,0.019802
0.01,0.04,0.188119,0.227723,-0.039604
0.01,0.05,0.138614,0.168317,-0.029703
0.01,0.06,0.138614,0.0990099,0.0396041
0.01,0.07,0.138614,0.158416,-0.019802
0.01,0.08,0.0792079,0.0990099,-0.019802
0.01,0.09,0.0594059,0.0594059,0
0.01,0.1,0.0990099,0.0594059,0.039604
0.01,0.11,0.0990099,0.029703,0.0693069
0.01,0.12,0.039604,0.0990099,-0.0594059
0.01,0.13,0.0594059,0.00990099,0.04950491
0.01,0.14,0.049505,0.039604,0.009901
0.01,0.15,0.0693069,0.039604,0.0297029
0.01,0.16,0.0594059,0.049505,0.0099009
0.01,0.17,0.039604,0.029703,0.009901
0.01,0.18,0.039604,0.029703,0.009901
0.01,0.19,0.029703,0.019802,0.009901
0.01,0.2,0.00990099,0.019802,-0.00990101
0.01,0.21,0.019802,0.049505,-0.029703
0.01,0.22,0.019802,0,0.019802
0.01,0.23,0.049505,0.019802,0.029703
0.01,0.24,0.019802,0.00990099,0.00990101
0.01,0.25,0.039604,0.00990099,0.02970301
0.01,0.26,0.049505,0.019802,0.029703
0.01,0.27,0.019802,0.029703,-0.009901
0.01,0.28,0.019802,0.019802,0
0.01,0.29,0.00990099,0,0.00990099
0.01,0.3,0.00990099,0.019802,-0.00990101
0.01,0.31,0,0.029703,-0.029703
0.01,0.32,0.019802,0.019802,0
0.01,0.33,0.00990099,0,0.00990099
0.01,0.34,0.00990099,0.00990099,0
0.01,0.35,0.00990099,0.00990099,0
0.01,0.36,0,0,0
0.01,0.37,0.00990099,0,0.00990099
0.01,0.38,0.019802,0.00990099,0.00990101
0.01,0.39,0.00990099,0.00990099,0
0.01,0.4,0.00990099,0.019802,-0.00990101
0.01,0.41,0.019802,0.00990099,0.00990101
0.01,0.42,0,0.019802,-0.019802
0.01,0.43,0.00990099,0,0.00990099
0.01,0.44,0,0.00990099,-0.00990099
0.01,0.45,0.00990099,0.019802,-0.00990101
0.01,0.46,0.019802,0.00990099,0.00990101
0.01,0.47,0,0.00990099,-0.00990099
0.01,0.48,0.029703,0,0.029703
0.01,0.49,0,0,0
0.01,0.5,0,0,0
0.01,0.51,0,0.00990099,-0.00990099
0.01,0.52,0,0,0
0.01,0.53,0.00990099,0,0.00990099
0.01,0.54,0.00990099,0,0.00990099
0.01,0.55,0,0.00990099,-0.00990099
0.01,0.56,0,0.00990099,-0.00990099
0.01,0.57,0,0.00990099,-0.00990099
0.01,0.58,0.00990099,0,0.00990099
0.01,0.59,0,0,0
0.01,0.6,0,0,0
0.01,0.61,0,0,0
0.01,0.62,0.00990099,0,0.00990099
0.01,0.63,0,0,0
0.01,0.64,0,0,0
0.01,0.65,0,0.00990099,-0.00990099
0.01,0.66,0,0,0
0.01,0.67,0,0,0
0.01,0.68,0.00990099,0.00990099,0
0.01,0.69,0,0.00990099,-0.00990099
0.01,0.7,0,0,0
0.01,0.71,0,0,0
0.01,0.72,0,0,0
0.01,0.73,0,0,0
0.01,0.74,0,0,0
0.01,0.75,0,0,0
0.01,0.76,0,0,0
0.01,0.77,0,0,0
0.01,0.78,0,0,0
0.01,0.79,0,0,0
0.01,0.8,0,0,0
0.01,0.81,0,0,0
0.01,0.82,0,0,0
0.01,0.83,0.019802,0,0.019802
0.01,0.84,0,0,0
0.01,0.85,0,0,0
0.01,0.86,0,0,0
0.01,0.87,0,0,0
0.01,0.88,0,0,0
0.01,0.89,0,0,0
0.01,0.9,0,0,0
0.01,0.91,0,0,0
0.01,0.92,0,0,0
0.01,0.93,0,0,0
0.01,0.94,0,0,0
0.01,0.95,0,0,0
0.01,0.96,0,0,0
0.01,0.97,0,0,0
0.01,0.98,0,0,0
0.01,0.99,0,0,0
0.02,0,1,1,0
0.02,0.01,0.643564,0.673267,-0.029703
0.02,0.02,0.465347,0.465347,0
0.02,0.03,0.405941,0.336634,0.069307
0.02,0.04,0.356436,0.435644,-0.079208
0.02,0.05,0.306931,0.247525,0.059406
0.02,0.06,0.227723,0.29703,-0.069307
0.02,0.07,0.306931,0.19802,0.108911
0.02,0.08,0.227723,0.227723,0
0.02,0.09,0.207921,0.148515,0.059406
0.02,0.1,0.19802,0.188119,0.009901
0.02,0.11,0.158416,0.128713,0.029703
0.02,0.12,0.118812,0.118812,0
0.02,0.13,0.138614,0.0990099,0.0396041
0.02,0.14,0.19802,0.0990099,0.0990101
0.02,0.15,0.108911,0.138614,-0.029703
0.02,0.16,0.0792079,0.0594059,0.019802
0.02,0.17,0.108911,0.029703,0.079208
0.02,0.18,0.0792079,0.049505,0.0297029
0.02,0.19,0.0891089,0.0594059,0.029703
0.02,0.2,0.0693069,0.0792079,-0.009901
0.02,0.21,0.0891089,0.0693069,0.019802
0.02,0.22,0.0891089,0.0891089,0
0.02,0.23,0.0594059,0.049505,0.0099009
0.02,0.24,0.019802,0.0693069,-0.0495049
0.02,0.25,0.0693069,0.029703,0.0396039
0.02,0.26,0.00990099,0.00990099,0
0.02,0.27,0.039604,0.029703,0.009901
0.02,0.28,0.029703,0.019802,0.009901
0.02,0.29,0.039604,0.039604,0
0.02,0.3,0.019802,0.029703,-0.009901
0.02,0.31,0.029703,0.029703,0
0.02,0.32,0.019802,0.019802,0
0.02,0.33,0.029703,0.0693069,-0.0396039
0.02,0.34,0.029703,0.029703,0
0.02,0.35,0.00990099,0.049505,-0.03960401
0.02,0.36,0.019802,0.00990099,0.00990101
0.02,0.37,0.019802,0.029703,-0.009901
0.02,0.38,0.019802,0.039604,-0.019802
0.02,0.39,0.039604,0,0.039604
0.02,0.4,0.049505,0.039604,0.009901
0.02,0.41,0.019802,0.00990099,0.00990101
0.02,0.42,0.029703,0.039604,-0.009901
0.02,0.43,0.019802,0.019802,0
0.02,0.44,0.019802,0.029703,-0.009901
0.02,0.45,0.029703,0.049505,-0.019802
0.02,0.46,0.019802,0.00990099,0.00990101
0.02,0.47,0.019802,0.029703,-0.009901
0.02,0.48,0,0.00990099,-0.00990099
0.02,0.49,0,0,0
0.02,0.5,0.0594059,0.00990099,0.04950491
0.02,0.51,0,0.00990099,-0.00990099
0.02,0.52,0,0,0
0.02,0.53,0.00990099,0.029703,-0.01980201
0.02,0.54,0.029703,0.00990099,0.01980201
0.02,0.55,0.00990099,0,0.00990099
0.02,0.56,0.00990099,0.00990099,0
0.02,0.57,0.00990099,0.019802,-0.00990101
0.02,0.58,0,0,0
0.02,0.59,0.019802,0.029703,-0.009901
0.02,0.6,0.00990099,0,0.00990099
0.02,0.61,0,0.00990099,-0.00990099
0.02,0.62,0.00990099,0.00990099,0
0.02,0.63,0,0,0
0.02,0.64,0,0,0
0.02,0.65,0.00990099,0,0.00990099
0.02,0.66,0,0,0
0.02,0.67,0.00990099,0.019802,-0.00990101
0.02,0.68,0,0.029703,-0.029703
0.02,0.69,0,0.00990099,-0.00990099
0.02,0.7,0.00990099,0,0.00990099
0.02,0.71,0,0.00990099,-0.00990099
0.02,0.72,0.00990099,0,0.00990099
0.02,0.73,0.00990099,0,0.00990099
0.02,0.74,0.00990099,0,0.00990099
0.02,0.75,0,0,0
0.02,0.76,0,0.019802,-0.019802
0.02,0.77,0,0,0
0.02,0.78,0,0,0
0.02,0.79,0,0,0
0.02,0.8,0.00990099,0,0.00990099
0.02,0.81,0.019802,0.00990099,0.00990101
0.02,0.82,0,0,0
0.02,0.83,0,0,0
0.02,0.84,0,0,0
0.02,0.85,0,0,0
0.02,0.86,0,0,0
0.02,0.87,0,0,0
0.02,0.88,0,0,0
0.02,0.89,0,0,0
0.02,0.9,0,0,0
0.02,0.91,0,0,0
0.02,0.92,0,0,0
0.02,0.93,0,0,0
0.02,0.94,0,0,0
0.02,0.95,0,0,0
0.02,0.96,0,0,0
0.02,0.97,0,0,0
0.02,0.98,0,0,0
0.02,0.99,0,0,0
0.03,0,0.990099,1,-0.009901
0.03,0.01,0.792079,0.792079,0
0.03,0.02,0.673267,0.633663,0.039604
0.03,0.03,0.633663,0.514851,0.118812
0.03,0.04,0.425743,0.405941,0.019802
0.03,0.05,0.326733,0.386139,-0.059406
0.03,0.06,0.326733,0.356436,-0.029703
0.03,0.07,0.316832,0.306931,0.009901
0.03,0.08,0.247525,0.306931,-0.059406
0.03,0.09,0.277228,0.247525,0.029703
0.03,0.1,0.178218,0.267327,-0.089109
0.03,0.11,0.178218,0.178218,0
0.03,0.12,0.227723,0.158416,0.069307
0.03,0.13,0.148515,0.158416,-0.009901
0.03,0.14,0.207921,0.188119,0.019802
0.03,0.15,0.178218,0.148515,0.029703
0.03,0.16,0.138614,0.108911,0.029703
0.03,0.17,0.138614,0.108911,0.029703
0.03,0.18,0.0891089,0.0990099,-0.009901
0.03,0.19,0.128713,0.108911,0.019802
0.03,0.2,0.0891089,0.029703,0.0594059
0.03,0.21,0.0891089,0.0594059,0.029703
0.03,0.22,0.108911,0.0891089,0.0198021
0.03,0.23,0.0792079,0.0792079,0
0.03,0.24,0.0990099,0.0594059,0.039604
0.03,0.25,0.00990099,0.039604,-0.02970301
0.03,0.26,0.0891089,0.0693069,0.019802
0.03,0.27,0.0594059,0.029703,0.0297029
0.03,0.28,0.049505,0.0594059,-0.0099009
0.03,0.29,0.0891089,0.00990099,0.07920791
0.03,0.3,0.0990099,0.00990099,0.08910891
0.03,0.31,0.0792079,0.0693069,0.009901
0.03,0.32,0.0990099,0.0693069,0.029703
0.03,0.33,0.049505,0.00990099,0.03960401
0.03,0.34,0.029703,0.0594059,-0.0297029
0.03,0.35,0.039604,0.039604,0
0.03,0.36,0.0990099,0.0594059,0.039604
0.03,0.37,0.0594059,0.039604,0.0198019
0.03,0.38,0.029703,0.00990099,0.01980201
0.03,0.39,0.00990099,0.039604,-0.02970301
0.03,0.4,0.039604,0.049505,-0.009901
0.03,0.41,0.0594059,0.0693069,-0.009901
0.03,0.42,0.00990099,0.039604,-0.02970301
0.03,0.43,0.039604,0.029703,0.009901
0.03,0.44,0.00990099,0.049505,-0.03960401
0.03,0.45,0.039604,0.049505,-0.009901
0.03,0.46,0.029703,0.029703,0
0.03,0.47,0.019802,0,0.019802
0.03,0.48,0.039604,0.019802,0.019802
0.03,0.49,0.019802,0.00990099,0.00990101
0.03,0.5,0.029703,0.029703,0
0.03,0.51,0.029703,0.00990099,0.01980201
0.03,0.52,0,0.029703,-0.029703
0.03,0.53,0.019802,0.019802,0
0.03,0.54,0.019802,0,0.019802
0.03,0.55,0.029703,0.019802,0.009901
0.03,0.56,0,0.00990099,-0.00990099
0.03,0.57,0,0,0
0.03,0.58,0.00990099,0.019802,-0.00990101
0.03,0.59,0.019802,0.019802,0
0.03,0.6,0.029703,0.029703,0
0.03,0.61,0.039604,0,0.039604
0.03,0.62,0.019802,0.00990099,0.00990101
0.03,0.63,0,0.00990099,-0.00990099
0.03,0.64,0.019802,0,0.019802
0.03,0.65,0.00990099,0,0.00990099
0.03,0.66,0.019802,0,0.019802
0.03,0.67,0,0,0
0.03,0.68,0.00990099,0.00990099,0
0.03,0.69,0,0,0
0.03,0.7,0,0,0
0.03,0.71,0.00990099,0,0.00990099
0.03,0.72,0.00990099,0.00990099,0
0.03,0.73,0.00990099,0.019802,-0.00990101
0.03,0.74,0,0.00990099,-0.00990099
0.03,0.75,0,0.00990099,-0.00990099
0.03,0.76,0,0,0
0.03,0.77,0,0,0
0.03,0.78,0.00990099,0,0.00990099
0.03,0.79,0,0,0
0.03,0.8,0,0,0
0.03,0.81,0,0,0
0.03,0.82,0,0,0
0.03,0.83,0,0,0
0.03,0.84,0.00990099,0,0.00990099
0.03,0.85,0,0,0
0.03,0.86,0,0.00990099,-0.00990099
0.03,0.87,0,0,0
0.03,0.88,0,0,0
0.03,0.89,0,0,0
0.03,0.9,0,0,0
0.03,0.91,0,0,0
0.03,0.92,0,0,0
0.03,0.93,0,0,0
0.03,0.94,0,0,0
0.03,0.95,0,0,0
0.03,0.96,0,0,0
0.03,0.97,0,0,0
0.03,0.98,0,0,0
0.03,0.99,0,0,0
0.04,0,1,1,0
0.04,0.01,0.871287,0.792079,0.079208
0.04,0.02,0.732673,0.70297,0.029703
0.04,0.03,0.584158,0.613861,-0.029703
0.04,0.04,0.544554,0.594059,-0.049505
0.04,0.05,0.405941,0.376238,0.029703
0.04,0.06,0.366337,0.39604,-0.029703
0.04,0.07,0.39604,0.376238,0.019802
0.04,0.08,0.287129,0.39604,-0.108911
0.04,0.09,0.287129,0.257426,0.029703
0.04,0.1,0.257426,0.217822,0.039604
0.04,0.11,0.267327,0.217822,0.049505
0.04,0.12,0.247525,0.227723,0.019802
0.04,0.13,0.158416,0.168317,-0.009901
0.04,0.14,0.306931,0.168317,0.138614
0.04,0.15,0.217822,0.237624,-0.019802
0.04,0.16,0.158416,0.158416,0
0.04,0.17,0.217822,0.168317,0.049505
0.04,0.18,0.158416,0.138614,0.019802
0.04,0.19,0.148515,0.0990099,0.0495051
0.04,0.2,0.118812,0.138614,-0.019802
0.04,0.21,0.148515,0.128713,0.019802
0.04,0.22,0.0693069,0.0891089,-0.019802
0.04,0.23,0.128713,0.118812,0.009901
0.04,0.24,0.128713,0.0891089,0.0396041
0.04,0.25,0.118812,0.0792079,0.0396041
0.04,0.26,0.0990099,0.0891089,0.009901
0.04,0.27,0.108911,0.0891089,0.0198021
0.04,0.28,0.118812,0.0891089,0.0297031
0.04,0.29,0.0594059,0.0792079,-0.019802
0.04,0.3,0.118812,0.029703,0.089109
0.04,0.31,0.0891089,0.0990099,-0.009901
0.04,0.32,0.029703,0.039604,-0.009901
0.04,0.33,0.0792079,0.0693069,0.009901
0.04,0.34,0.0693069,0.0891089,-0.019802
0.04,0.35,0.049505,0.0792079,-0.0297029
0.04,0.36,0.0594059,0.0594059,0
0.04,0.37,0.029703,0.0792079,-0.0495049
0.04,0.38,0.0693069,0.0693069,0
0.04,0.39,0.019802,0.0594059,-0.0396039
0.04,0.4,0.029703,0.0594059,-0.0297029
0.04,0.41,0.0693069,0.049505,0.0198019
0.04,0.42,0.029703,0.029703,0
0.04,0.43,0.019802,0.049505,-0.029703
0.04,0.44,0.029703,0.00990099,0.01980201
0.04,0.45,0.039604,0.029703,0.009901
0.04,0.46,0.029703,0.0594059,-0.0297029
0.04,0.47,0.0693069,0.00990099,0.05940591
0.04,0.48,0.029703,0.019802,0.009901
0.04,0.49,0.029703,0.039604,-0.009901
0.04,0.5,0.029703,0.0594059,-0.0297029
0.04,0.51,0.039604,0.019802,0.019802
0.04,0.52,0.039604,0.039604,0
0.04,0.53,0.019802,0.039604,-0.019802
0.04,0.54,0.00990099,0.029703,-0.01980201
0.04,0.55,0.00990099,0.00990099,0
0.04,0.56,0.029703,0.019802,0.009901
0.04,0.57,0,0.019802,-0.019802
0.04,0.58,0.029703,0.019802,0.009901
