p,11-rule,21-rule,difference
0,0,0,0
0.01,0.000189998,0.000139999,0.000049999
0.02,0.000549995,0.000479995,0.00007
0.03,0.00097999,0.00113999,-0.00016
0.04,0.00181998,0.00163998,0.00018
0.05,0.00274997,0.00276997,-2E-05
0.06,0.00427996,0.00383996,0.00044
0.07,0.00586994,0.00557994,0.00029
0.08,0.00742993,0.00737993,5E-05
0.09,0.0099899,0.0097099,0.00028
0.1,0.0123899,0.0117999,0.00059
0.11,0.0152698,0.0151598,0.00011
0.12,0.0180798,0.0181898,-0.00011
0.13,0.0215798,0.0216398,-6E-05
0.14,0.0261097,0.0260097,1E-04
0.15,0.0303197,0.0304497,-0.00013
0.16,0.0356396,0.0346297,0.0010099
0.17,0.0404396,0.0389196,0.00152
0.18,0.0465395,0.0465795,-4E-05
0.19,0.0524895,0.0521495,0.00034
0.2,0.0584694,0.0584394,3E-05
0.21,0.0650593,0.0646094,0.0004499
0.22,0.0736793,0.0738693,-0.00019
0.23,0.0828592,0.0824692,0.00039
0.24,0.0911691,0.0897991,0.00137
0.25,0.100789,0.098979,0.00181
0.26,0.108069,0.110279,-0.00221
0.27,0.120399,0.119789,0.00061
0.28,0.130779,0.132219,-0.00144
0.29,0.142719,0.142829,-0.00011
0.3,0.154638,0.153028,0.00161
0.31,0.166878,0.166328,0.00055
0.32,0.180368,0.180298,7E-05
0.33,0.196188,0.194768,0.00142
0.34,0.210218,0.207918,0.0023
0.35,0.226928,0.226508,0.00042
0.36,0.241038,0.244868,-0.00383
0.37,0.255657,0.254607,0.00105
0.38,0.271027,0.274467,-0.00344
0.39,0.291597,0.292057,-0.00046
0.4,0.308697,0.306897,0.0018
0.41,0.323987,0.325057,-0.00107
0.42,0.340417,0.342417,-0.002
0.43,0.366056,0.360106,0.00595
0.44,0.379566,0.381966,-0.0024
0.45,0.400516,0.400516,0
0.46,0.421166,0.421936,-0.00077
0.47,0.441056,0.444026,-0.00297
0.48,0.460365,0.461415,-0.00105
0.49,0.481255,0.480945,0.00031
0.5,0.501135,0.499565,0.00157
0.51,0.519785,0.519395,0.00039
0.52,0.538965,0.541965,-0.003
0.53,0.563334,0.560024,0.00331
0.54,0.578984,0.580734,-0.00175
0.55,0.596954,0.602314,-0.00536
0.56,0.619854,0.618364,0.00149
0.57,0.639324,0.635974,0.00335
0.58,0.655543,0.652333,0.00321
0.59,0.674783,0.676493,-0.00171
0.6,0.691863,0.692943,-0.00108
0.61,0.709893,0.709133,0.00076
0.62,0.724753,0.727383,-0.00263
0.63,0.741653,0.743383,-0.00173
0.64,0.758842,0.759172,-0.00033
0.65,0.776822,0.773682,0.00314
0.66,0.790452,0.790962,-0.00051
0.67,0.805482,0.807272,-0.00179
0.68,0.819842,0.818972,0.00087
0.69,0.832712,0.832622,9E-05
0.7,0.845142,0.843432,0.00171
0.71,0.856211,0.856591,-0.00038
0.72,0.868511,0.869491,-0.00098
0.73,0.879211,0.880971,-0.00176
0.74,0.890421,0.890771,-0.00035
0.75,0.900211,0.899581,0.00063
0.76,0.909891,0.910551,-0.00066
0.77,0.919261,0.917011,0.00225
0.78,0.925551,0.926941,-0.00139
0.79,0.934321,0.934531,-0.00021
0.8,0.940901,0.941291,-0.00039
0.81,0.948171,0.947291,0.00088
0.82,0.955,0.95367,0.00133
0.83,0.95964,0.95947,0.00017
0.84,0.96492,0.96428,0.00064
0.85,0.97091,0.96921,0.0017
0.86,0.97427,0.97378,0.00049
0.87,0.97818,0.97759,0.00059
0.88,0.98218,0.98219,-1E-05
0.89,0.98487,0.98485,2E-05
0.9,0.98756,0.98779,-0.00023
0.91,0.99031,0.99023,8E-05
0.92,0.99224,0.99258,-0.00034
0.93,0.99389,0.99446,-0.00057
0.94,0.99606,0.99614,-8E-05
0.95,0.99723,0.9973,-7E-05
0.96,0.998,0.99844,-0.00044
0.97,0.99923,0.999,0.00023
0.98,0.99959,0.99968,-9E-05
0.99,0.99993,0.99985,8E-05
